x1,x2,x3,f(x1,x2,x3)
9582147,3482137,0.16,85638.89,,
8767823,9548336,0.26,84834.5,,
7378091,9118007,0.23,83184.01,,
7896519,3579400,0.15,81996.4,,
9006065,2340834,0.13,81761.79,,
9012842,6967035,0.23,80930.12,,
5736010,3255233,0.12,80375.65,,
3118337,9111194,0.15,80032.01,,
4486587,4457543,0.13,79571.87,,
9676907,6266399,0.23,79065.58,,
2914081,8098306,0.14,78568.28,,
9464090,8553661,0.26,78298.16,,
6130916,5948711,0.18,77763.42,,
9367536,2650366,0.15,77601.43,,
4450054,8944781,0.19,77188.98,,
8382737,8760950,0.25,76745.7,,
3626957,5570364,0.13,76140.18,,
4352783,3324892,0.11,76132.48,,
8149192,5579283,0.2,75940.17,,
8114788,4785966,0.19,75666.7,,
4475096,6878518,0.17,74901.19,,
2379953,4692256,0.1,74772.28,,
7439210,7797665,0.23,73268.4,,
3795394,9404189,0.18,73249.05,,
7132973,7296209,0.22,71251.61,,
3526409,7069913,0.15,70866.89,,
8792670,9543573,0.28,70545.78,,
7378848,8332517,0.24,70310.35,,
8734135,3157246,0.16,70253.87,,
2113430,4867560,0.1,69682.2,,
1892327,7502807,0.12,68152.94,,
4924028,2394564,0.11,67919.95,,
7876884,7497747,0.24,67762.91,,
2525717,6217509,0.12,67595.27,,
8756779,1141382,0.1,67586.63,,
9855022,4434127,0.21,67095.95,,
6183605,7759698,0.22,65939.2,,
9095135,5655398,0.23,65238.37,,
1594753,6591871,0.1,64897.06,,
4795043,7865500,0.2,64769.27,,
6811109,9089485,0.25,64674.48,,
6980689,9858577,0.27,64275.94,,
3958669,4731622,0.14,63688.27,,
4026677,7062456,0.17,63591.2,,
4369343,4914237,0.15,63586.86,,
6917579,3013498,0.15,63219.65,,
9457488,8626942,0.29,63156.44,,
3399632,8283711,0.17,63113.91,,
9871648,9088767,0.31,62665.89,,
4020144,5347271,0.15,62485.08,,
7143086,5395104,0.2,61857.76,,
6198155,8000827,0.23,61685.54,,
6308980,4845672,0.18,61592.14,,
1770563,5131174,0.1,61462.12,,
9356095,8792010,0.3,61043.95,,
9667442,3586110,0.19,61033.03,,
9348848,9046835,0.31,60609.41,,
5237645,1698214,0.1,60298.7,,
7069063,1335890,0.1,60241.79,,
7360874,7642579,0.25,60004.02,,
9603878,7003140,0.27,59885.28,,
9308821,8368821,0.3,59706.43,,
9701437,1439394,0.13,58977.78,,
6006040,4371305,0.17,58720.82,,
2444665,9603431,0.16,58699.02,,
9686709,2519442,0.17,58552.19,,
6782110,9440880,0.27,58418.36,,
9389347,2549753,0.17,58388.38,,
1915341,5819141,0.11,58110.61,,
9529506,3119317,0.19,57752.2,,
8653492,2855596,0.17,56892.38,,
9158483,4229641,0.21,56665.21,,
4820005,6940556,0.2,56191.42,,
7100235,8600054,0.27,55938.03,,
3828342,4623396,0.15,55818.88,,
7611586,7404107,0.26,55552.63,,
5911479,3920357,0.17,55280.51,,
9339155,1374755,0.12,54965.39,,
5770875,2696692,0.14,54659.69,,
6487768,2941256,0.15,54257.68,,
6369455,9818717,0.28,54025.16,,
5270630,8842528,0.24,53523.07,,
8141037,9926010,0.32,53167.76,,
